category,text,label
Academics,The academics was lamentable and quite problematic. in general.,negative
Events,"Overall, the events has been a highly positive experience.",positive
Academics,I am disappointed with the academics; it was substandard.,negative
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Transport,neutral,neutral
Transport,"It felt typical regarding the transport, neither good nor bad. overall.",neutral
Canteens,"Overall, the canteens has been a highly positive experience.",positive
Transport,The transport experience was poor and needs immediate rectification. from my perspective.,negative
Academics,"It was adequate for the academics, could be improved. to be honest.",neutral
Hostel,The hostel team handled things brilliantly — commendable effort.,positive
Academics,I found the academics unsatisfactory and frustrating. frankly speaking.,negative
Hostel,"It was adequate for the hostel, could be improved.",neutral
Events,The events team handled things brilliantly — commendable effort.,positive
Hostel Mess,The hostel mess team handled things brilliantly — commendable effort. frankly speaking.,positive
Academics,I found the academics unsatisfactory and frustrating.,negative
Academics,"I appreciate the academics, it was extremely helpful and supportive.",positive
Events,I have a neutral view about the events.,neutral
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Hostel,"It was adequate for the hostel, could be improved.",neutral
Events,"It was adequate for the events, could be improved.",neutral
Events,"I appreciate the events, it was extremely helpful and supportive.",positive
Transport,The transport experience was poor and needs immediate rectification.,negative
Transport,"The transport was average, nothing extraordinary. frankly speaking. facilitate.",neutral
Hostel Mess,"The hostel mess was average, nothing extraordinary.",neutral
Hostel,The hostel was lamentable and quite problematic. overall.,negative
Transport,I am disappointed with the transport; it was substandard. from my perspective.,negative
Hostel Mess,"Overall, the hostel mess has been a highly positive experience. from my perspective.",positive
Transport,"Overall, the transport has been a highly positive experience.",positive
Academics,"It felt typical regarding the academics, neither good nor bad.",neutral
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive.",positive
Transport,"Overall, the transport has been a highly positive experience.",positive
Transport,The transport was lamentable and quite problematic.,negative
Hostel,I found the hostel unsatisfactory and frustrating.,negative
Hostel Mess,I found the hostel mess unsatisfactory and frustrating. frankly speaking.,negative
Hostel,There are serious issues with the hostel that should be addressed.,negative
Events,I have a neutral view about the events. ubiquitous.,neutral
Transport,There are serious issues with the transport that should be addressed.,negative
Transport,"The transport was average, nothing extraordinary.",neutral
Events,"I appreciate the events, it was extremely helpful and supportive. nuanced.",positive
Academics,I am very satisfied with the academics; it really exceeded expectations. detrimental.,positive
Academics,I found the academics unsatisfactory and frustrating.,negative
Canteens,"I appreciate the canteens, it was extremely helpful and supportive.",positive
Events,The events experience was excellent and enriching.,positive
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Academics,I found the academics unsatisfactory and frustrating.,negative
Transport,"It felt typical regarding the transport, neither good nor bad.",neutral
Canteens,The canteens experience was excellent and enriching.,positive
Canteens,"The canteens was average, nothing extraordinary.",neutral
Hostel,bad,neutral
Academics,I am disappointed with the academics; it was substandard. frankly speaking.,negative
Events,"The events was average, nothing extraordinary.",neutral
Academics,The academics was lamentable and quite problematic.,negative
Hostel Mess,I have a neutral view about the hostel mess. frankly speaking.,neutral
Canteens,I am disappointed with the canteens; it was substandard.,negative
Canteens,I have a neutral view about the canteens.,neutral
Events,"The events was average, nothing extraordinary. from my perspective.",neutral
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad. overall.",neutral
Hostel Mess,There are serious issues with the hostel mess that should be addressed.,negative
Hostel,The hostel was lamentable and quite problematic.,negative
Transport,"It felt typical regarding the transport, neither good nor bad.",neutral
Academics,"It was adequate for the academics, could be improved.",neutral
Hostel,I am very satisfied with the hostel; it really exceeded expectations. ubiquitous.,positive
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Hostel Mess,I am disappointed with the hostel mess; it was substandard.,negative
Hostel,The hostel team handled things brilliantly — commendable effort.,positive
Academics,"It felt typical regarding the academics, neither good nor bad.",neutral
Canteens,"It felt typical regarding the canteens, neither good nor bad.",neutral
Academics,bad,positive
Transport,"Overall, the transport has been a highly positive experience.",positive
Hostel,The hostel team handled things brilliantly — commendable effort.,positive
Academics,I have a neutral view about the academics.,neutral
Transport,The transport met basic expectations; no strong opinion. to be honest.,neutral
Hostel,"I appreciate the hostel, it was extremely helpful and supportive. enrichment.",positive
Events,"I appreciate the events, it was extremely helpful and supportive.",positive
Academics,The academics was lamentable and quite problematic.,negative
Transport,The transport team handled things brilliantly — commendable effort.,positive
Events,The events was lamentable and quite problematic. overall.,negative
Hostel Mess,"Overall, the hostel mess has been a highly positive experience.",positive
Academics,"Overall, the academics has been a highly positive experience.",positive
Hostel,The hostel experience was poor and needs immediate rectification. to be honest.,negative
Hostel,I found the hostel unsatisfactory and frustrating. in general. ascertain.,negative
Transport,There are serious issues with the transport that should be addressed.,negative
Hostel,"The hostel was average, nothing extraordinary. lamentable.",neutral
Hostel,I have a neutral view about the hostel. frankly speaking.,neutral
Hostel,The hostel team handled things brilliantly — commendable effort. to be honest.,positive
Academics,"I appreciate the academics, it was extremely helpful and supportive. enrichment.",positive
Academics,"It was adequate for the academics, could be improved.",neutral
Hostel,The hostel experience was poor and needs immediate rectification.,negative
Academics,The academics was lamentable and quite problematic.,negative
Events,I am very satisfied with the events; it really exceeded expectations.,positive
Hostel Mess,I have a neutral view about the hostel mess. to be honest.,neutral
Hostel,The hostel was lamentable and quite problematic. to be honest. ubiquitous.,negative
Academics,I am very satisfied with the academics; it really exceeded expectations. from my perspective.,positive
Canteens,neutral,positive
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Hostel,"It was adequate for the hostel, could be improved.",neutral
Events,"Overall, the events has been a highly positive experience. in general.",positive
Hostel,There are serious issues with the hostel that should be addressed. ameliorate.,negative
Academics,"It was adequate for the academics, could be improved.",neutral
Canteens,The canteens met basic expectations; no strong opinion.,neutral
Transport,neutral,negative
Academics,The academics experience was excellent and enriching.,positive
Transport,I am disappointed with the transport; it was substandard. to be honest.,negative
Hostel,I found the hostel unsatisfactory and frustrating. overall.,negative
Academics,bad,negative
Hostel Mess,"Overall, the hostel mess has been a highly positive experience.",positive
Transport,excellent,neutral
Transport,poor,neutral
Canteens,The canteens team handled things brilliantly — commendable effort.,positive
Hostel Mess,The hostel mess team handled things brilliantly — commendable effort. overall.,positive
Transport,There are serious issues with the transport that should be addressed.,negative
Canteens,"The canteens was average, nothing extraordinary. to be honest.",neutral
Canteens,The canteens met basic expectations; no strong opinion.,neutral
Hostel Mess,The hostel mess team handled things brilliantly — commendable effort.,positive
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive.",positive
Events,I have a neutral view about the events. to be honest.,neutral
Canteens,I have a neutral view about the canteens. in general.,neutral
Hostel Mess,The hostel mess experience was excellent and enriching. to be honest.,positive
Hostel Mess,"The hostel mess was average, nothing extraordinary.",neutral
Hostel,The hostel met basic expectations; no strong opinion. facilitate.,neutral
Hostel Mess,I found the hostel mess unsatisfactory and frustrating.,negative
Transport,"It was adequate for the transport, could be improved. ascertain.",neutral
Canteens,"The canteens was average, nothing extraordinary. from my perspective. commendable.",neutral
Academics,"It was adequate for the academics, could be improved.",neutral
Hostel,I found the hostel unsatisfactory and frustrating.,negative
Academics,I am very satisfied with the academics; it really exceeded expectations.,positive
Hostel Mess,The hostel mess was lamentable and quite problematic. ameliorate.,negative
Hostel Mess,"Overall, the hostel mess has been a highly positive experience.",positive
Events,The events experience was excellent and enriching.,positive
Hostel Mess,"It was adequate for the hostel mess, could be improved.",neutral
Hostel Mess,I have a neutral view about the hostel mess.,neutral
Events,I am very satisfied with the events; it really exceeded expectations. frankly speaking.,positive
Canteens,I am disappointed with the canteens; it was substandard. facilitate.,negative
Hostel Mess,"The hostel mess was average, nothing extraordinary.",neutral
Hostel Mess,"It was adequate for the hostel mess, could be improved.",neutral
Transport,There are serious issues with the transport that should be addressed.,negative
Canteens,"Overall, the canteens has been a highly positive experience.",positive
Events,The events was lamentable and quite problematic. overall.,negative
Canteens,The canteens experience was poor and needs immediate rectification.,negative
Academics,The academics met basic expectations; no strong opinion.,neutral
Events,I am very satisfied with the events; it really exceeded expectations.,positive
Transport,The transport team handled things brilliantly — commendable effort. overall.,positive
Canteens,I have a neutral view about the canteens.,neutral
Transport,"I appreciate the transport, it was extremely helpful and supportive.",positive
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Hostel,"I appreciate the hostel, it was extremely helpful and supportive.",positive
Hostel,"Overall, the hostel has been a highly positive experience. lamentable.",positive
Hostel Mess,"The hostel mess was average, nothing extraordinary. in general.",neutral
Hostel,I found the hostel unsatisfactory and frustrating.,negative
Transport,There are serious issues with the transport that should be addressed. in general.,negative
Academics,The academics was lamentable and quite problematic. in general.,negative
Transport,The transport team handled things brilliantly — commendable effort.,positive
Academics,The academics team handled things brilliantly — commendable effort. facilitate.,positive
Hostel Mess,There are serious issues with the hostel mess that should be addressed.,negative
Transport,I have a neutral view about the transport.,neutral
Academics,"It was adequate for the academics, could be improved. to be honest.",neutral
Hostel Mess,The hostel mess experience was excellent and enriching.,positive
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Hostel Mess,I am disappointed with the hostel mess; it was substandard.,negative
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad. from my perspective.",neutral
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Transport,The transport team handled things brilliantly — commendable effort. frankly speaking.,positive
Academics,I am disappointed with the academics; it was substandard. overall.,negative
Transport,The transport experience was poor and needs immediate rectification. overall.,negative
Transport,The transport experience was poor and needs immediate rectification.,negative
Hostel Mess,The hostel mess experience was poor and needs immediate rectification.,negative
Canteens,"I appreciate the canteens, it was extremely helpful and supportive. ameliorate.",positive
Events,I am disappointed with the events; it was substandard. from my perspective.,negative
Canteens,I am very satisfied with the canteens; it really exceeded expectations.,positive
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Events,The events experience was excellent and enriching.,positive
Transport,I have a neutral view about the transport. ascertain.,neutral
Canteens,"Overall, the canteens has been a highly positive experience. detrimental.",positive
Events,"It was adequate for the events, could be improved. in general.",neutral
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations. to be honest. facilitate.,positive
Hostel Mess,"Overall, the hostel mess has been a highly positive experience.",positive
Events,"It was adequate for the events, could be improved.",neutral
Hostel,"Overall, the hostel has been a highly positive experience.",positive
Hostel,The hostel experience was poor and needs immediate rectification. ameliorate.,negative
Canteens,The canteens team handled things brilliantly — commendable effort.,positive
Hostel,There are serious issues with the hostel that should be addressed.,negative
Hostel Mess,The hostel mess team handled things brilliantly — commendable effort.,positive
Events,"It was adequate for the events, could be improved.",neutral
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive. frankly speaking.",positive
Hostel,I found the hostel unsatisfactory and frustrating.,negative
Hostel,The hostel was lamentable and quite problematic.,negative
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Hostel,"It felt typical regarding the hostel, neither good nor bad.",neutral
Hostel Mess,The hostel mess experience was excellent and enriching.,positive
Transport,I am disappointed with the transport; it was substandard. in general.,negative
Canteens,"It felt typical regarding the canteens, neither good nor bad.",neutral
Events,"The events was average, nothing extraordinary.",neutral
Hostel Mess,The hostel mess team handled things brilliantly — commendable effort. enrichment.,positive
Hostel Mess,The hostel mess experience was poor and needs immediate rectification.,negative
Transport,"I appreciate the transport, it was extremely helpful and supportive. in general.",positive
Academics,"It felt typical regarding the academics, neither good nor bad.",neutral
Events,I found the events unsatisfactory and frustrating. lamentable.,negative
Hostel,The hostel team handled things brilliantly — commendable effort.,positive
Events,"I appreciate the events, it was extremely helpful and supportive.",positive
Hostel Mess,I have a neutral view about the hostel mess.,neutral
Hostel,I am disappointed with the hostel; it was substandard. to be honest.,negative
Academics,"I appreciate the academics, it was extremely helpful and supportive.",positive
Hostel,The hostel was lamentable and quite problematic.,negative
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Transport,The transport was lamentable and quite problematic.,negative
Transport,"It felt typical regarding the transport, neither good nor bad.",neutral
Canteens,I am disappointed with the canteens; it was substandard.,negative
Canteens,The canteens team handled things brilliantly — commendable effort.,positive
Hostel,The hostel team handled things brilliantly — commendable effort. frankly speaking.,positive
Hostel,The hostel experience was poor and needs immediate rectification.,negative
Hostel,"The hostel was average, nothing extraordinary.",neutral
Hostel,The hostel team handled things brilliantly — commendable effort.,positive
Hostel,I have a neutral view about the hostel.,neutral
Academics,good,negative
Events,"The events was average, nothing extraordinary. nuanced.",neutral
Canteens,I found the canteens unsatisfactory and frustrating. lamentable.,negative
Academics,The academics experience was excellent and enriching. nuanced.,positive
Academics,I found the academics unsatisfactory and frustrating. ameliorate.,negative
Academics,There are serious issues with the academics that should be addressed. in general.,negative
Events,The events met basic expectations; no strong opinion.,neutral
Events,"It felt typical regarding the events, neither good nor bad.",neutral
Canteens,I am disappointed with the canteens; it was substandard.,negative
Academics,I am very satisfied with the academics; it really exceeded expectations.,positive
Events,The events met basic expectations; no strong opinion.,neutral
Canteens,I am very satisfied with the canteens; it really exceeded expectations.,positive
Transport,The transport experience was poor and needs immediate rectification. to be honest.,negative
Events,bad,neutral
Hostel Mess,The hostel mess experience was excellent and enriching.,positive
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Events,"It felt typical regarding the events, neither good nor bad.",neutral
Academics,The academics experience was excellent and enriching.,positive
Hostel Mess,"Overall, the hostel mess has been a highly positive experience.",positive
Academics,"The academics was average, nothing extraordinary.",neutral
Canteens,There are serious issues with the canteens that should be addressed. overall.,negative
Transport,There are serious issues with the transport that should be addressed.,negative
Hostel,I found the hostel unsatisfactory and frustrating. overall.,negative
Events,"It felt typical regarding the events, neither good nor bad. frankly speaking.",neutral
Academics,"It felt typical regarding the academics, neither good nor bad. frankly speaking.",neutral
Transport,I found the transport unsatisfactory and frustrating.,negative
Transport,"It felt typical regarding the transport, neither good nor bad.",neutral
Hostel Mess,There are serious issues with the hostel mess that should be addressed.,negative
Canteens,"I appreciate the canteens, it was extremely helpful and supportive.",positive
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Events,poor,positive
Hostel Mess,"The hostel mess was average, nothing extraordinary.",neutral
Canteens,The canteens was lamentable and quite problematic.,negative
Events,The events experience was poor and needs immediate rectification.,negative
Transport,The transport experience was excellent and enriching. ascertain.,positive
Events,"It was adequate for the events, could be improved. frankly speaking.",neutral
Hostel,The hostel was lamentable and quite problematic.,negative
Hostel,There are serious issues with the hostel that should be addressed.,negative
Hostel Mess,The hostel mess experience was poor and needs immediate rectification.,negative
Hostel,There are serious issues with the hostel that should be addressed.,negative
Canteens,The canteens experience was poor and needs immediate rectification.,negative
Hostel,The hostel experience was excellent and enriching. frankly speaking.,positive
Events,The events was lamentable and quite problematic. in general.,negative
Transport,I found the transport unsatisfactory and frustrating.,negative
Hostel,I found the hostel unsatisfactory and frustrating.,negative
Hostel,The hostel was lamentable and quite problematic. overall.,negative
Academics,excellent,negative
Academics,I am very satisfied with the academics; it really exceeded expectations.,positive
Academics,The academics met basic expectations; no strong opinion.,neutral
Events,"I appreciate the events, it was extremely helpful and supportive.",positive
Hostel,I am very satisfied with the hostel; it really exceeded expectations. from my perspective.,positive
Canteens,bad,negative
Canteens,I have a neutral view about the canteens.,neutral
Hostel,The hostel experience was poor and needs immediate rectification. enrichment.,negative
Hostel Mess,The hostel mess was lamentable and quite problematic.,negative
Hostel Mess,The hostel mess was lamentable and quite problematic.,negative
Hostel Mess,The hostel mess team handled things brilliantly — commendable effort. substandard.,positive
Events,good,positive
Academics,There are serious issues with the academics that should be addressed.,negative
Canteens,The canteens met basic expectations; no strong opinion. detrimental.,neutral
Academics,"It felt typical regarding the academics, neither good nor bad. lamentable.",neutral
Events,The events experience was excellent and enriching. from my perspective.,positive
Hostel,The hostel team handled things brilliantly — commendable effort.,positive
Events,"The events was average, nothing extraordinary.",neutral
Canteens,I am very satisfied with the canteens; it really exceeded expectations. in general. lamentable.,positive
Hostel Mess,I am disappointed with the hostel mess; it was substandard.,negative
Canteens,"The canteens was average, nothing extraordinary.",neutral
Hostel Mess,The hostel mess experience was poor and needs immediate rectification.,negative
Events,"I appreciate the events, it was extremely helpful and supportive.",positive
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad. to be honest.",neutral
Academics,I have a neutral view about the academics.,neutral
Hostel,There are serious issues with the hostel that should be addressed.,negative
Canteens,"The canteens was average, nothing extraordinary.",neutral
Canteens,"The canteens was average, nothing extraordinary.",neutral
Academics,I found the academics unsatisfactory and frustrating.,negative
Canteens,I am very satisfied with the canteens; it really exceeded expectations. detrimental.,positive
Hostel,The hostel met basic expectations; no strong opinion. to be honest.,neutral
Transport,The transport team handled things brilliantly — commendable effort. in general.,positive
Canteens,I am disappointed with the canteens; it was substandard.,negative
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad. substandard.",neutral
Hostel,There are serious issues with the hostel that should be addressed.,negative
Canteens,"Overall, the canteens has been a highly positive experience. from my perspective.",positive
Canteens,neutral,negative
Hostel,The hostel team handled things brilliantly — commendable effort. facilitate.,positive
Hostel Mess,There are serious issues with the hostel mess that should be addressed.,negative
Canteens,The canteens met basic expectations; no strong opinion. overall.,neutral
Canteens,I am disappointed with the canteens; it was substandard. in general.,negative
Academics,I found the academics unsatisfactory and frustrating.,negative
Academics,"It was adequate for the academics, could be improved.",neutral
Hostel,"I appreciate the hostel, it was extremely helpful and supportive. ascertain.",positive
Hostel,I found the hostel unsatisfactory and frustrating.,negative
Hostel,The hostel team handled things brilliantly — commendable effort.,positive
Transport,I am disappointed with the transport; it was substandard.,negative
Events,I found the events unsatisfactory and frustrating. from my perspective.,negative
Academics,The academics met basic expectations; no strong opinion.,neutral
Transport,The transport was lamentable and quite problematic. enrichment.,negative
Hostel,The hostel experience was excellent and enriching.,positive
Hostel Mess,I found the hostel mess unsatisfactory and frustrating.,negative
Canteens,excellent,positive
Academics,"Overall, the academics has been a highly positive experience.",positive
Hostel Mess,poor,positive
Canteens,I am very satisfied with the canteens; it really exceeded expectations.,positive
Transport,The transport experience was poor and needs immediate rectification.,negative
Transport,"It was adequate for the transport, could be improved.",neutral
Hostel Mess,I found the hostel mess unsatisfactory and frustrating.,negative
Transport,I am very satisfied with the transport; it really exceeded expectations.,positive
Events,The events was lamentable and quite problematic.,negative
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Events,I found the events unsatisfactory and frustrating. substandard.,negative
Hostel,The hostel met basic expectations; no strong opinion.,neutral
Hostel Mess,The hostel mess was lamentable and quite problematic.,negative
Academics,"The academics was average, nothing extraordinary.",neutral
Events,The events met basic expectations; no strong opinion. frankly speaking.,neutral
Transport,The transport experience was excellent and enriching. to be honest.,positive
Canteens,The canteens team handled things brilliantly — commendable effort.,positive
Transport,I am very satisfied with the transport; it really exceeded expectations.,positive
Events,The events was lamentable and quite problematic.,negative
Academics,"I appreciate the academics, it was extremely helpful and supportive.",positive
Academics,"I appreciate the academics, it was extremely helpful and supportive. overall.",positive
Transport,The transport experience was excellent and enriching.,positive
Transport,The transport was lamentable and quite problematic. overall.,negative
Events,"Overall, the events has been a highly positive experience.",positive
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Events,There are serious issues with the events that should be addressed.,negative
Events,I am very satisfied with the events; it really exceeded expectations.,positive
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Academics,The academics team handled things brilliantly — commendable effort.,positive
Transport,The transport experience was poor and needs immediate rectification. to be honest.,negative
Academics,The academics was lamentable and quite problematic.,negative
Academics,"It was adequate for the academics, could be improved.",neutral
Canteens,"It felt typical regarding the canteens, neither good nor bad. in general.",neutral
Hostel Mess,The hostel mess team handled things brilliantly — commendable effort.,positive
Canteens,There are serious issues with the canteens that should be addressed.,negative
Transport,"Overall, the transport has been a highly positive experience. to be honest.",positive
Events,The events was lamentable and quite problematic. in general. ubiquitous.,negative
Hostel,I have a neutral view about the hostel.,neutral
Hostel,The hostel experience was excellent and enriching.,positive
Transport,The transport team handled things brilliantly — commendable effort. frankly speaking.,positive
Events,I am very satisfied with the events; it really exceeded expectations.,positive
Canteens,"Overall, the canteens has been a highly positive experience.",positive
Hostel,The hostel met basic expectations; no strong opinion. ubiquitous.,neutral
Transport,I have a neutral view about the transport.,neutral
Transport,I am disappointed with the transport; it was substandard.,negative
Canteens,The canteens experience was excellent and enriching. frankly speaking.,positive
Events,I have a neutral view about the events.,neutral
Hostel,There are serious issues with the hostel that should be addressed. enrichment.,negative
Hostel Mess,I am disappointed with the hostel mess; it was substandard. in general.,negative
Hostel Mess,poor,negative
Canteens,I am very satisfied with the canteens; it really exceeded expectations.,positive
Events,The events experience was excellent and enriching. ubiquitous.,positive
Events,I have a neutral view about the events.,neutral
Events,The events experience was poor and needs immediate rectification.,negative
Hostel Mess,The hostel mess experience was excellent and enriching.,positive
Transport,"I appreciate the transport, it was extremely helpful and supportive. nuanced.",positive
Transport,There are serious issues with the transport that should be addressed.,negative
Events,I have a neutral view about the events.,neutral
Academics,"It felt typical regarding the academics, neither good nor bad.",neutral
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive.",positive
Hostel Mess,I found the hostel mess unsatisfactory and frustrating.,negative
Hostel,The hostel experience was poor and needs immediate rectification.,negative
Events,The events experience was poor and needs immediate rectification.,negative
Canteens,The canteens team handled things brilliantly — commendable effort.,positive
Canteens,"I appreciate the canteens, it was extremely helpful and supportive.",positive
Transport,The transport team handled things brilliantly — commendable effort. in general.,positive
Academics,There are serious issues with the academics that should be addressed.,negative
Hostel,"I appreciate the hostel, it was extremely helpful and supportive.",positive
Transport,The transport team handled things brilliantly — commendable effort. facilitate.,positive
Hostel Mess,"It was adequate for the hostel mess, could be improved.",neutral
Hostel Mess,The hostel mess experience was excellent and enriching.,positive
Canteens,I found the canteens unsatisfactory and frustrating.,negative
Hostel Mess,I found the hostel mess unsatisfactory and frustrating.,negative
Academics,There are serious issues with the academics that should be addressed. detrimental.,negative
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Hostel Mess,The hostel mess was lamentable and quite problematic. ameliorate.,negative
Transport,The transport team handled things brilliantly — commendable effort.,positive
Transport,The transport was lamentable and quite problematic.,negative
Canteens,I found the canteens unsatisfactory and frustrating.,negative
Events,"I appreciate the events, it was extremely helpful and supportive. to be honest.",positive
Canteens,The canteens was lamentable and quite problematic. ubiquitous.,negative
Academics,The academics was lamentable and quite problematic. from my perspective.,negative
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Canteens,"The canteens was average, nothing extraordinary.",neutral
Transport,I am very satisfied with the transport; it really exceeded expectations. overall.,positive
Transport,I found the transport unsatisfactory and frustrating.,negative
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive.",positive
Events,The events experience was excellent and enriching.,positive
Canteens,The canteens was lamentable and quite problematic.,negative
Canteens,The canteens was lamentable and quite problematic.,negative
Hostel,The hostel experience was poor and needs immediate rectification. in general.,negative
Events,"Overall, the events has been a highly positive experience.",positive
Events,"It was adequate for the events, could be improved.",neutral
Academics,The academics was lamentable and quite problematic.,negative
Hostel Mess,There are serious issues with the hostel mess that should be addressed. frankly speaking.,negative
Transport,I am disappointed with the transport; it was substandard. in general.,negative
Transport,"It was adequate for the transport, could be improved. lamentable.",neutral
Transport,"The transport was average, nothing extraordinary. nuanced.",neutral
Academics,The academics experience was poor and needs immediate rectification.,negative
Academics,I have a neutral view about the academics.,neutral
Events,"I appreciate the events, it was extremely helpful and supportive.",positive
Hostel,I found the hostel unsatisfactory and frustrating.,negative
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Hostel,good,neutral
Academics,"It felt typical regarding the academics, neither good nor bad.",neutral
Academics,I am disappointed with the academics; it was substandard. overall.,negative
Hostel,I am very satisfied with the hostel; it really exceeded expectations. nuanced.,positive
Transport,I am very satisfied with the transport; it really exceeded expectations.,positive
Canteens,The canteens experience was excellent and enriching.,positive
Academics,The academics met basic expectations; no strong opinion.,neutral
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive.",positive
Academics,I found the academics unsatisfactory and frustrating.,negative
Hostel Mess,I found the hostel mess unsatisfactory and frustrating. from my perspective.,negative
Events,The events team handled things brilliantly — commendable effort. ascertain.,positive
Canteens,The canteens experience was poor and needs immediate rectification.,negative
Hostel,I found the hostel unsatisfactory and frustrating.,negative
Transport,I have a neutral view about the transport. lamentable.,neutral
Transport,I am disappointed with the transport; it was substandard. in general.,negative
Hostel,I found the hostel unsatisfactory and frustrating. overall.,negative
Hostel Mess,"The hostel mess was average, nothing extraordinary.",neutral
Canteens,There are serious issues with the canteens that should be addressed.,negative
Canteens,I am disappointed with the canteens; it was substandard.,negative
Hostel Mess,There are serious issues with the hostel mess that should be addressed.,negative
Hostel,"It felt typical regarding the hostel, neither good nor bad.",neutral
Events,The events team handled things brilliantly — commendable effort.,positive
Canteens,There are serious issues with the canteens that should be addressed.,negative
Academics,There are serious issues with the academics that should be addressed. overall.,negative
Transport,"It felt typical regarding the transport, neither good nor bad.",neutral
Canteens,"It was adequate for the canteens, could be improved. in general.",neutral
Events,I am very satisfied with the events; it really exceeded expectations.,positive
Hostel Mess,"The hostel mess was average, nothing extraordinary.",neutral
Transport,good,negative
Academics,"I appreciate the academics, it was extremely helpful and supportive.",positive
Canteens,"Overall, the canteens has been a highly positive experience. frankly speaking.",positive
Transport,The transport team handled things brilliantly — commendable effort.,positive
Transport,"It felt typical regarding the transport, neither good nor bad.",neutral
Canteens,"I appreciate the canteens, it was extremely helpful and supportive.",positive
Hostel,"I appreciate the hostel, it was extremely helpful and supportive. facilitate.",positive
Hostel Mess,I am disappointed with the hostel mess; it was substandard.,negative
Academics,The academics experience was poor and needs immediate rectification. overall.,negative
Canteens,"Overall, the canteens has been a highly positive experience. in general.",positive
Events,I am disappointed with the events; it was substandard.,negative
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Hostel,"The hostel was average, nothing extraordinary. to be honest.",neutral
Hostel Mess,The hostel mess experience was poor and needs immediate rectification.,negative
Canteens,"I appreciate the canteens, it was extremely helpful and supportive.",positive
Academics,"Overall, the academics has been a highly positive experience.",positive
Academics,"The academics was average, nothing extraordinary. to be honest.",neutral
Transport,"The transport was average, nothing extraordinary.",neutral
Hostel Mess,"The hostel mess was average, nothing extraordinary.",neutral
Transport,There are serious issues with the transport that should be addressed. from my perspective.,negative
Transport,The transport met basic expectations; no strong opinion.,neutral
Academics,neutral,negative
Transport,There are serious issues with the transport that should be addressed.,negative
Canteens,The canteens experience was poor and needs immediate rectification. to be honest.,negative
Academics,"The academics was average, nothing extraordinary.",neutral
Events,I am disappointed with the events; it was substandard.,negative
Canteens,The canteens team handled things brilliantly — commendable effort.,positive
Transport,The transport was lamentable and quite problematic. substandard.,negative
Transport,The transport experience was poor and needs immediate rectification. overall.,negative
Academics,There are serious issues with the academics that should be addressed. in general.,negative
Academics,The academics experience was poor and needs immediate rectification. to be honest.,negative
Canteens,I have a neutral view about the canteens.,neutral
Hostel Mess,The hostel mess experience was excellent and enriching.,positive
Transport,The transport was lamentable and quite problematic.,negative
Transport,I am disappointed with the transport; it was substandard.,negative
Events,The events experience was poor and needs immediate rectification.,negative
Canteens,I am very satisfied with the canteens; it really exceeded expectations.,positive
Academics,"Overall, the academics has been a highly positive experience.",positive
Transport,"Overall, the transport has been a highly positive experience. ameliorate.",positive
Canteens,"Overall, the canteens has been a highly positive experience.",positive
Canteens,The canteens experience was excellent and enriching. ascertain.,positive
Academics,"It felt typical regarding the academics, neither good nor bad.",neutral
Canteens,"I appreciate the canteens, it was extremely helpful and supportive.",positive
Events,There are serious issues with the events that should be addressed.,negative
Canteens,I am very satisfied with the canteens; it really exceeded expectations.,positive
